state,scenario,period,ruler,unweighted_mean,area_weighted_mean,delta_area_minus_unweighted,n_districts_scored,n_districts_with_area
Punjab,ssp585,2020-2040,linear,54.10295713610289,54.425655606067295,0.32269846996440776,23,23
Punjab,ssp585,2040-2060,linear,68.7920370297737,69.09266075229856,0.30062372252486114,23,23
Punjab,ssp585,2060-2080,linear,83.31221760160706,83.57445055609274,0.2622329544856825,23,23
Rajasthan,historical,1990-2010,linear,46.24699274926441,47.21482484916252,0.9678320998981107,49,49
Rajasthan,ssp245,2020-2040,linear,56.39963351051104,57.683580957989605,1.2839474474785675,49,49
Rajasthan,ssp245,2040-2060,linear,65.56695552048004,66.74554847162582,1.178592951145788,49,49
Rajasthan,ssp245,2060-2080,linear,72.3864560923707,73.70522602630187,1.3187699339311791,49,49
Rajasthan,ssp585,2020-2040,linear,57.29299669877653,58.540326455408724,1.2473297566321975,49,49
Rajasthan,ssp585,2040-2060,linear,70.28447661473105,71.60677610333927,1.3222994886082233,49,49
Rajasthan,ssp585,2060-2080,linear,84.68275997574638,85.88943761510643,1.206677639360052,49,49
Sikkim,historical,1990-2010,linear,4.590245244726746,2.0375564644730364,-2.5526887802537095,6,6
Sikkim,ssp245,2020-2040,linear,13.918500636871848,11.101213223256197,-2.8172874136156505,6,6
Sikkim,ssp245,2040-2060,linear,21.903927177318746,18.447199862604535,-3.456727314714211,6,6
Sikkim,ssp245,2060-2080,linear,28.22051127382632,24.36729930395906,-3.8532119698672602,6,6
Sikkim,ssp585,2020-2040,linear,14.559485698753283,11.748850751626085,-2.8106349471271983,6,6
Sikkim,ssp585,2040-2060,linear,27.752938216733426,23.954366251477357,-3.7985719652560697,6,6
Sikkim,ssp585,2060-2080,linear,40.931913812952736,35.927549489935146,-5.00436432301759,6,6
Tamil Nadu,historical,1990-2010,linear,41.000854981898186,40.520066811035655,-0.48078817086253167,38,38
Tamil Nadu,ssp245,2020-2040,linear,52.892359087720386,52.38335087109676,-0.5090082166236272,38,38
Tamil Nadu,ssp245,2040-2060,linear,63.61512690035467,62.9457858534381,-0.6693410469165642,38,38
Tamil Nadu,ssp245,2060-2080,linear,72.0222913340733,71.31249977571008,-0.7097915583632215,38,38
Tamil Nadu,ssp585,2020-2040,linear,53.60932572047933,53.07551080007228,-0.5338149204070533,38,38
Tamil Nadu,ssp585,2040-2060,linear,70.87398145057519,70.22501600393596,-0.6489654466392238,38,38
Tamil Nadu,ssp585,2060-2080,linear,86.17526468299089,85.66421496979845,-0.5110497131924348,38,38
Telangana,historical,1990-2010,linear,48.002834470207404,48.02724843939782,0.024413969190419493,33,33
Telangana,ssp245,2020-2040,linear,57.84694651880657,57.86583715854997,0.01889063974340388,33,33
Telangana,ssp245,2040-2060,linear,66.73734926170495,66.76144393830506,0.02409467660011444,33,33
Telangana,ssp245,2060-2080,linear,75.1472043459829,75.17501531125052,0.02781096526761928,33,33
Telangana,ssp585,2020-2040,linear,57.99178486994183,58.02225480945783,0.030469939515995748,33,33
Telangana,ssp585,2040-2060,linear,73.48228324909851,73.50738348221105,0.025100233112539172,33,33
Telangana,ssp585,2060-2080,linear,88.78539239387976,88.86109440280158,0.075702008921823,33,33
Tripura,historical,1990-2010,linear,34.08324896586022,33.923400619542974,-0.1598483463172471,8,8
Tripura,ssp245,2020-2040,linear,45.487926458223114,45.38683436676107,-0.10109209146204279,8,8
Tripura,ssp245,2040-2060,linear,56.90986401904194,56.82951383496857,-0.08035018407336736,8,8
Tripura,ssp245,2060-2080,linear,66.54556196186923,66.48001108824614,-0.06555087362308143,8,8
Tripura,ssp585,2020-2040,linear,46.81943330443954,46.71691177822073,-0.1025215262188155,8,8
Tripura,ssp585,2040-2060,linear,64.73833503978669,64.67487892426938,-0.06345611551731167,8,8
Tripura,ssp585,2060-2080,linear,79.83683634943762,79.78463562488704,-0.05220072455057334,8,8
Uttar Pradesh,historical,1990-2010,linear,45.91672009477099,45.99223485226967,0.07551475749868075,75,75
Uttar Pradesh,ssp245,2020-2040,linear,53.954664750532565,54.017805195298614,0.06314044476604863,75,75
Uttar Pradesh,ssp245,2040-2060,linear,64.79859626851535,64.87713434092447,0.07853807240911692,75,75
Uttar Pradesh,ssp245,2060-2080,linear,72.04903325403227,72.11779015690978,0.06875690287751013,75,75
Uttar Pradesh,ssp585,2020-2040,linear,55.54138858936707,55.586611020557385,0.04522243119031799,75,75
Uttar Pradesh,ssp585,2040-2060,linear,70.10046871632119,70.17191126213406,0.07144254581287157,75,75
Uttar Pradesh,ssp585,2060-2080,linear,85.61688351856145,85.74611123357319,0.12922771501173713,75,75
Uttarakhand,historical,1990-2010,linear,18.023595649590874,13.623231804539921,-4.400363845050952,13,13
Uttarakhand,ssp245,2020-2040,linear,27.933153697280833,23.55197964300774,-4.381174054273092,13,13
Uttarakhand,ssp245,2040-2060,linear,36.73291634832044,32.082076557806666,-4.650839790513771,13,13
Uttarakhand,ssp245,2060-2080,linear,44.51172376011766,39.80239780298202,-4.70932595713564,13,13
Uttarakhand,ssp585,2020-2040,linear,29.220065255914943,24.79604759401214,-4.424017661902802,13,13
Uttarakhand,ssp585,2040-2060,linear,42.97125305425979,38.30476058043156,-4.666492473828228,13,13
Uttarakhand,ssp585,2060-2080,linear,57.90223067554546,53.004518012180846,-4.897712663364615,13,13
West Bengal,historical,1990-2010,linear,40.621409159936356,42.25635934937132,1.6349501894349672,23,23
West Bengal,ssp245,2020-2040,linear,49.60171775938481,51.15037500761765,1.5486572482328356,23,23
